cumulative_reward,cral,cr,successful_landing,boundary_counter,landing_attempts,movement_ratio
-10.199999999999998,0.016393442622950838,0.016393442622950838,True,5,4,0.36065573770491804
-0.2,0.0,0.0,True,0,1,0.029411764705882353
-1.0,0.0,0.0,True,0,1,0.08571428571428572
-208.40000000000012,0.0,0.0801186943620178,False,14,26,1.0
0.0,0.0,0.0,True,0,1,0.00980392156862745
-0.4,0.0,0.0,True,0,1,0.039473684210526314
11.000000000000004,0.10652920962199308,0.10652920962199308,True,0,1,0.09302325581395349
-5.6000000000000005,0.0,0.0,True,2,3,0.18
-0.4,0.0,0.0,True,0,1,0.025210084033613446
0.0,0.0,0.0,True,0,1,0.014285714285714285
-31.599999999999966,0.0,0.0,True,9,12,0.7564102564102564
-0.2,0.0,0.0,True,0,1,0.020202020202020204
0.0,0.0,0.0,True,0,1,0.009009009009009009
0.0,0.0,0.0,True,0,1,0.011363636363636364
-25.799999999999986,0.0,0.0,True,11,9,0.24305555555555555
-7.800000000000002,0.0,0.0,True,1,3,0.29411764705882354
-19.19999999999998,0.0589887640449438,0.0589887640449438,True,3,14,0.48760330578512395
-1.2,0.0,0.0,True,0,1,0.05303030303030303
-177.79999999999995,0.0,0.022935779816513735,False,3,14,1.0
-6.400000000000002,0.0,0.0,True,1,3,0.1267605633802817
6.799999999999999,0.09124087591240881,0.09124087591240881,True,0,2,0.1016949152542373
-0.4,0.0,0.0,True,0,1,0.05172413793103448
-2.1999999999999997,0.0,0.0,True,0,1,0.0821917808219178
-0.2,0.0,0.0,True,0,1,0.022727272727272728
